RoundId,SongId,Person A,URLA,Person B,URLB
1,1,Participant 1,https://www.youtube.com/watch?v=03iBgkXb1EE,Participant 4,https://youtube.com/watch?v=LpQelRVg5H8
1,2,Participant 1,https://www.youtube.com/watch?v=pkcJEvMcnEg,Participant 4,https://youtube.com/watch?v=LJTSHfQobX4
1,3,Participant 1,https://www.youtube.com/watch?v=09LTT0xwdfw,Participant 4,https://youtube.com/watch?v=tgj2br-teu4
1,4,Participant 1,https://www.youtube.com/watch?v=OCJi5hVdiZU,Participant 4,https://youtube.com/watch?v=dFR6VoUdoTo
1,5,Participant 1,https://www.youtube.com/watch?v=04F4xlWSFh0,Participant 4,https://youtube.com/watch?v=12YvDcLP7vw
2,1,Participant 6,https://www.youtube.com/watch?v=M9RmQlVFIVw,Participant 16,https://youtu.be/l1E_S8d4YQQ?t=32
2,2,Participant 6,https://www.youtube.com/watch?v=wMsazR6Tnf8,Participant 16,https://www.youtube.com/watch?v=F-GiyUkkCxI
2,3,Participant 6,https://www.youtube.com/watch?v=0J2QdDbelmY,Participant 16,https://www.youtube.com/watch?v=jylRnYFbyX8
2,4,Participant 6,https://www.youtube.com/watch?v=v2AC41dglnM,Participant 16,https://www.youtube.com/watch?v=QDAocZ_r76U
2,5,Participant 6,https://www.youtube.com/watch?v=EaTISifHaeg,Participant 16,https://www.youtube.com/watch?v=Kve68FFRjtA
3,1,Participant 12,https://www.youtube.com/watch?v=xDhSd3sL4pY,Participant 9,https://youtu.be/tKjZuykKY1I?is=9GOHUFlqnTcep1Oy
3,2,Participant 12,https://www.youtube.com/watch?v=2qhLxfZJlbs,Participant 9,https://youtu.be/eBShN8qT4lk?is=WNKTHy_2gqmd5Lqg
3,3,Participant 12,https://www.youtube.com/watch?v=LpC0SKU6O00,Participant 9,https://youtu.be/oIIxlgcuQRU?is=JPWCdezBNb51WVqB
3,4,Participant 12,https://www.youtube.com/watch?v=TnLAC5AJPuM,Participant 9,https://youtu.be/09LTT0xwdfw?is=IMVkDUCT2AilPTef
3,5,Participant 12,https://www.youtube.com/watch?v=8Bx1-NjlWT8,Participant 9,https://youtu.be/3rS83uI0Wak?is=e2BPhYvgXM2Pqkac
4,1,Participant 11,https://youtu.be/ql9-82oV2JE?si=lLALEOu8afd15sII,Participant 13,https://www.youtube.com/watch?v=SnoQCSIb9gg
4,2,Participant 11,https://youtu.be/PQmDUEv939A?si=52ARevmWRs27cSNC,Participant 13,https://www.youtube.com/watch?v=9erLsEHAZRI
4,3,Participant 11,https://youtu.be/Sb5aq5HcS1A?si=xn03B4sqfOUDJt4P,Participant 13,https://www.youtube.com/watch?v=OFVNi3WVbQQ
4,4,Participant 11,https://youtu.be/89dGC8de0CA?si=l1lgkcknlVu2u1t7,Participant 13,https://www.youtube.com/watch?v=DZyYapMZSec
4,5,Participant 11,https://youtu.be/HKLnmMacEB4?si=wYbvI-XCgL2CSnTZ,Participant 13,https://www.youtube.com/watch?v=l6rKIu8u5UE
